polygon_name, polygon_uuid, polygon_type, x, y, organization_id, farm_id
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-659.6848650904581,191.8940052935601,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-643.7715797802903,173.23150777036076,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-634.1098385057361,156.14835532181687,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-624.0150041642236,123.71257484426951,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-619.4142522071584,89.93557343755879,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-611.5984881563586,69.93326098029927,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-604.1472564641691,63.51869085845827,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-597.9587995319048,59.409764532685514,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-583.3020584020319,46.97515559153874,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-576.7881499937669,37.35218746878925,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-568.3207874088578,15.295482525183274,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-552.2835286238578,-4.801651353926246,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-436.23794507959116,-2.383302866287565,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-186.7360433105438,1.1449036884846322,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-184.37084949112125,-86.9212888691265,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-193.19809650749033,-130.24248191012336,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-192.7449422555722,-166.866412050749,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-176.1161371067588,-195.67346589653394,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-14.121511968372175,-192.75971329657688,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,12.683106239236679,-191.2931230759624,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,12.535728322089014,-151.4750761330918,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,7.280740864801345,-33.557551383167294,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,7.003318950658425,-28.910496820311693,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,8.866430410178424,-12.212889137485831,20,18
